index,city,state,zip_code
521,Providence,Rhode Island,2909
522,Providence,Rhode Island,2905
523,Providence,Rhode Island,2909
524,Providence,Rhode Island,2907
525,Pawtucket,Rhode Island,2861
526,Providence,Rhode Island,2909
527,Providence,Rhode Island,2909
528,Pawtucket,Rhode Island,2860
529,Providence,Rhode Island,2909
530,Central Falls,Rhode Island,2863
531,Pawtucket,Rhode Island,2860
532,Providence,Rhode Island,2908
533,Providence,Rhode Island,2907
534,Central Falls,Rhode Island,2863
535,Providence,Rhode Island,2905
536,Warwick,Rhode Island,2889
537,Providence,Rhode Island,2909
538,Providence,Rhode Island,2905
539,Lincoln,Rhode Island,2865
540,Providence,Rhode Island,2909
541,Central Falls,Rhode Island,2863
542,Providence,Rhode Island,2905
543,Providence,Rhode Island,2909
544,Providence,Rhode Island,2907
545,Johnston,Rhode Island,2919
546,Pawtucket,Rhode Island,2861
547,Providence,Rhode Island,2909
548,Providence,Rhode Island,2909
549,Pawtucket,Rhode Island,2860
550,Providence,Rhode Island,2909
551,Pawtucket,Rhode Island,2860
552,Central Falls,Rhode Island,2863
553,Providence,Rhode Island,2908
554,Providence,Rhode Island,2907
555,Woonsocket,Rhode Island,2895
556,Central Falls,Rhode Island,2863
557,Woonsocket,Rhode Island,2895
558,Providence,Rhode Island,2909
559,Woonsocket,Rhode Island,2895
560,Providence,Rhode Island,2907
561,North Providence,Rhode Island,2904
562,Providence,Rhode Island,2905
563,Cranston,Rhode Island,2920
564,Lincoln,Rhode Island,2865
565,Woonsocket,Rhode Island,2895
566,Central Falls,Rhode Island,2863
567,Pawtucket,Rhode Island,2861
568,Pawtucket,Rhode Island,2860
569,Central Falls,Rhode Island,2863
570,Pawtucket,Rhode Island,2860
571,Woonsocket,Rhode Island,2895
572,Woonsocket,Rhode Island,2895
573,Woonsocket,Rhode Island,2895
574,North Providence,Rhode Island,2904
575,Woonsocket,Rhode Island,2895
576,Lincoln,Rhode Island,2865
577,Warwick,Rhode Island,2889
578,Warren,Rhode Island,2885
579,Warren,Rhode Island,2885
580,Central Falls,Rhode Island,2863
581,Providence,Rhode Island,2909
582,Providence,Rhode Island,2905
583,Providence,Rhode Island,2909
584,Providence,Rhode Island,2907
585,Johnston,Rhode Island,2919
586,Pawtucket,Rhode Island,2861
587,Providence,Rhode Island,2909
588,Providence,Rhode Island,2909
589,Pawtucket,Rhode Island,2860
590,Providence,Rhode Island,2909
591,Pawtucket,Rhode Island,2860
592,Central Falls,Rhode Island,2863
593,Providence,Rhode Island,2908
594,Providence,Rhode Island,2907
595,Woonsocket,Rhode Island,2895
596,Central Falls,Rhode Island,2863
597,Providence,Rhode Island,2905
598,Woonsocket,Rhode Island,2895
599,Providence,Rhode Island,2909
600,Woonsocket,Rhode Island,2895
601,North Providence,Rhode Island,2904
602,Providence,Rhode Island,2905
603,Cranston,Rhode Island,2920
604,Woonsocket,Rhode Island,2895
605,Lincoln,Rhode Island,2865
606,Providence,Rhode Island,2909
607,Central Falls,Rhode Island,2863
608,Providence,Rhode Island,2905
609,Providence,Rhode Island,2909
610,Providence,Rhode Island,2907
611,Pawtucket,Rhode Island,2861
612,Johnston,Rhode Island,2919
613,Providence,Rhode Island,2909
614,Providence,Rhode Island,2909
615,Pawtucket,Rhode Island,2860
