index,bed,bath,acre_lot,zip_code,house_size,price
12275,3,3,0.29,2886,1600,535000
12276,3,3,0.31,2920,1900,569900
12277,3,3,0.19,2920,1850,499900
12278,3,3,0.14,2895,1808,249900
12279,3,3,0.09,2809,1889,829000
12280,3,3,0.12,2915,1905,950000
12281,3,3,0.28,2904,2184,600000
12282,3,3,0.11,2910,2036,419900
12283,3,3,0.1,2914,1352,324900
12284,3,3,0.2,2889,1512,399900
12285,3,3,0.15,2920,1600,499000
12286,3,3,0.13,2809,1470,475000
12287,3,3,0.53,2830,1642,399000
12288,3,3,0.08,2809,2620,650000
12289,3,3,0.16,2911,1144,385000
12290,3,3,0.1,2907,1273,250000
12291,3,3,0.34,2919,1276,475000
12292,3,3,0.13,2904,2952,895000
12293,3,3,0.21,2895,3419,399000
12294,3,3,0.11,2879,1544,525000
12295,3,3,0.92,2872,1605,625000
12296,3,3,0.91,2813,1232,689000
12297,3,3,1.84,2832,2048,479900
12298,3,3,0.27,2891,1584,299900
12299,3,3,1.77,2804,2688,519000
12300,3,3,0.46,2891,1458,445000
12301,3,3,0.6,2852,2462,419000
12302,3,3,5.05,2892,2184,599900
12303,3,3,2.06,2898,2130,599900
12304,3,3,2.1,2898,2212,619900
12305,3,3,2.03,2898,2212,619900
12306,3,3,0.16,2879,1482,545000
12307,3,3,0.11,2882,1888,899000
12308,3,3,0.29,2832,1672,339000
12309,3,3,0.34,2808,1496,450000
12310,3,3,0.12,2891,2628,1400000
12311,3,3,0.53,2852,1731,570000
12312,3,3,0.59,2891,1979,599000
12313,3,3,,2903,1629,689000
12314,3,3,0.42,2882,2044,835000
12315,3,3,0.56,2891,2000,875000
12316,3,3,2.8,2892,3380,1500000
12317,3,3,0.17,2882,1040,575000
12318,3,3,1.65,2832,2128,499900
12319,3,3,3.34,2891,2192,549000
12320,3,3,0.75,2891,2147,749000
12321,3,3,0.23,2816,1686,469900
12322,3,3,0.38,2891,1919,659000
12323,3,3,2.53,2879,3318,874800
12324,3,3,25,2804,1166,700000
12325,3,3,,2898,1802,3780898
12326,3,3,1.37,2891,2218,635000
12327,3,3,1.61,2879,1850,1056000
12328,3,3,0.2,2886,1717,429900
12329,3,3,0.11,2879,1544,525000
12330,3,3,0.18,2893,1169,369900
12331,3,3,2.14,2816,1904,499900
12332,3,3,0.91,2813,1232,689000
12333,3,3,1,2818,2584,794900
12334,3,3,0.51,2921,2026,560000
