index,acre_lot,house_size,price
782,2.01,6750,2000000
783,2.01,6750,2000000
784,2.01,6750,2000000
785,2.01,6750,2000000
786,0.36,5798,7195000
787,2.01,6750,2000000
788,2.01,6750,2000000
789,0.36,5798,7195000
790,2.01,6750,2000000
791,2.01,6750,2000000
792,0.33,7384,2249000
793,0.18,4832,649900
794,0.33,7384,2249000
795,0.18,4832,649900
796,0.18,4832,649900
797,0.33,7384,2249000
798,0.18,4832,649900
799,0.33,7384,2249000
800,0.18,4832,649900
801,0.33,7384,2249000
802,0.18,4832,649900
803,5.08,9367,3595000
804,5.08,9367,3595000
805,0.33,7384,2249000
806,0.18,4832,649900
807,0.33,7384,2249000
808,0.18,4832,649900
809,0.33,7384,2249000
810,0.33,7384,2249000
811,0.18,4832,649900
812,5.08,9367,3595000
813,0.18,4832,649900
814,0.33,7384,2249000
815,0.33,7384,2249000
816,0.09,3508,455000
817,0.13,3550,1190000
818,0.09,3508,455000
819,1.95,4097,1650000
820,0.25,4310,1495000
821,0.25,4310,1495000
822,0.09,3508,455000
823,0.09,3508,455000
824,0.25,4310,1495000
825,0.13,3550,1190000
826,0.09,3508,455000
827,0.25,4310,1495000
828,0.13,3550,1190000
829,0.13,3550,1190000
830,0.25,4310,1495000
831,0.25,4310,1495000
832,0.25,4310,1495000
833,0.13,3550,1190000
834,0.25,4310,1495000
835,0.09,3508,455000
836,0.09,3508,455000
837,0.24,5282,450000
838,0.17,4955,465000
839,0.17,5262,460000
840,0.09,3888,425000
841,0.35,4481,435000
842,0.09,3888,425000
843,0.05,4088,459900
844,0.07,5490,499999
845,0.24,5282,450000
846,0.17,5262,460000
847,0.17,4955,465000
848,0.5,3124,588800
849,0.18,4133,415000
850,0.35,4481,435000
851,0.15,6506,580000
852,0.09,4020,425000
853,0.16,7008,569900
854,0.09,3888,425000
855,0.24,5282,450000
856,0.17,5262,460000
857,0.17,4955,465000
858,0.35,4481,435000
859,0.16,7008,569900
860,0.09,3888,425000
861,0.24,5282,450000
862,0.17,4955,465000
863,0.17,5262,460000
864,0.5,3124,588800
865,0.35,4481,435000
866,0.09,3888,425000
867,0.16,7008,569900
868,0.24,5282,450000
869,0.17,5262,460000
870,0.17,4955,465000
871,0.35,4481,435000
872,0.09,3888,425000
873,0.17,5262,460000
874,0.24,5282,450000
875,0.17,4955,465000
876,0.5,3124,588800
877,0.35,4481,435000
878,0.09,4020,425000
879,0.16,7008,569900
880,0.09,3888,425000
881,0.17,4955,465000
882,0.17,5262,460000
883,0.24,5282,450000
884,0.35,4481,435000
885,0.09,3888,425000
886,0.24,5282,450000
887,0.17,5262,460000
888,0.17,4955,465000
889,0.35,4481,435000
890,0.16,7008,569900
891,0.09,3888,425000
892,0.07,5490,499999
893,0.09,4020,425000
894,0.16,7008,569900
895,0.05,4088,459900
896,0.07,5490,499999
897,0.09,4020,425000
898,0.16,7008,569900
899,0.05,4088,459900
900,0.07,5490,499999
901,0.24,5282,450000
902,0.17,5262,460000
903,0.17,4955,465000
904,0.5,3124,588800
905,0.35,4481,435000
906,0.15,6506,580000
907,0.09,4020,425000
908,0.16,7008,569900
909,0.09,3888,425000
910,0.5,3124,588800
911,0.35,4481,435000
912,0.16,7008,569900
913,0.09,3888,425000
914,0.13,3256,1700000
915,0.18,4133,415000
916,0.38,3720,1250000
917,0.18,4133,415000
918,0.38,3720,1250000
919,0.07,5490,499999
920,0.24,5282,450000
921,0.17,5262,460000
922,0.17,4955,465000
923,0.5,3124,588800
924,0.35,4481,435000
925,0.15,6506,580000
926,0.09,4020,425000
927,0.09,3888,425000
928,0.16,7008,569900
929,0.05,4088,459900
930,0.07,5490,499999
931,0.24,5282,450000
932,0.17,5262,460000
933,0.17,4955,465000
934,0.5,3124,588800
935,0.35,4481,435000
936,0.15,6506,580000
937,0.09,4020,425000
938,0.09,3888,425000
939,0.16,7008,569900
940,0.18,4133,415000
941,0.05,4088,459900
942,0.07,5490,499999
943,0.5,3124,588800
944,0.18,4133,415000
945,0.15,6506,580000
946,0.09,4020,425000
947,0.16,7008,569900
948,0.5,3124,588800
949,0.18,4133,415000
950,0.15,6506,580000
951,0.09,4020,425000
952,0.5,3124,588800
953,0.35,4481,435000
954,0.16,7008,569900
955,0.09,3888,425000
956,0.15,6506,580000
957,0.18,4133,415000
958,0.16,7008,569900
959,0.38,3720,1250000
960,0.07,5490,499999
961,0.24,5282,450000
962,0.17,4955,465000
963,0.17,5262,460000
964,0.13,3256,1700000
965,0.5,3124,588800
966,0.18,4133,415000
967,0.35,4481,435000
968,0.15,6506,580000
969,0.09,4020,425000
970,0.09,3888,425000
971,0.16,7008,569900
972,0.5,3124,588800
973,0.35,4481,435000
974,0.09,3888,425000
975,0.13,3256,1700000
976,0.38,3720,1250000
977,0.13,3256,1700000
978,0.24,5282,450000
979,0.17,4955,465000
980,0.17,5262,460000
981,0.5,3124,588800
982,0.35,4481,435000
983,0.09,4020,425000
984,0.16,7008,569900
985,0.09,3888,425000
986,0.38,3720,1250000
987,0.13,3256,1700000
988,0.24,5282,450000
989,0.17,4955,465000
990,0.17,5262,460000
991,0.35,4481,435000
992,0.09,3888,425000
993,0.38,3720,1250000
994,0.18,4133,415000
995,0.38,3720,1250000
996,0.24,5282,450000
997,0.17,5262,460000
998,0.17,4955,465000
999,0.35,4481,435000
1000,0.09,3888,425000
1001,0.18,4133,415000
1002,0.38,3720,1250000
1003,0.07,5490,499999
1004,0.05,4088,459900
1005,0.07,5490,499999
1006,0.15,6506,580000
1007,0.5,3124,588800
1008,0.15,6506,580000
1009,0.09,4020,425000
1010,0.05,4088,459900
1011,0.09,4020,425000
1012,0.5,3124,588800
1013,0.18,4133,415000
1014,0.5,3124,588800
1015,0.18,4133,415000
1016,0.25,3681,369900
1017,0.48,4479,599900
1018,0.13,6800,419900
1019,0.15,4991,475000
1020,0.48,4479,599900
1021,0.13,6800,419900
1022,0.11,4200,425000
1023,0.15,4991,475000
1024,0.16,4140,439900
1025,0.12,3896,249900
1026,0.24,2770,359900
1027,0.25,3681,369900
1028,0.07,3137,399000
1029,0.11,4569,369900
1030,0.08,4512,450000
1031,0.48,4479,599900
1032,0.12,3845,525000
1033,0.09,4128,399900
1034,0.18,7180,499000
1035,0.11,4200,425000
1036,0.13,6800,419900
1037,0.13,4464,429900
1038,0.08,4576,439000
1039,0.15,4991,475000
1040,0.12,3896,249900
1041,0.25,3681,369900
1042,0.48,4479,599900
1043,0.11,4200,425000
1044,0.13,6800,419900
1045,0.13,4464,429900
1046,0.15,4991,475000
1047,0.16,4140,439900
1048,0.25,3681,369900
1049,0.09,3200,590000
1050,0.48,4479,599900
1051,0.12,3845,525000
1052,0.18,7180,499000
1053,0.11,4200,425000
1054,0.13,6800,419900
1055,0.08,4576,439000
1056,0.15,4991,475000
1057,0.12,3896,249900
1058,0.25,3681,369900
1059,0.11,4200,425000
1060,0.13,6800,419900
1061,0.15,4991,475000
1062,0.25,3681,369900
1063,0.09,3200,590000
1064,0.12,3845,525000
1065,0.48,4479,599900
1066,0.18,7180,499000
1067,0.11,4200,425000
1068,0.13,6800,419900
1069,0.08,4576,439000
1070,0.15,4991,475000
1071,0.16,4140,439900
1072,0.25,3681,369900
1073,0.48,4479,599900
1074,0.11,4200,425000
1075,0.13,6800,419900
1076,0.15,4991,475000
1077,0.48,4479,599900
1078,0.12,3845,525000
1079,0.11,4200,425000
1080,0.13,6800,419900
1081,0.15,4991,475000
1082,0.16,4140,439900
1083,0.1,3229,379900
1084,0.5,2300,509000
1085,0.12,3896,249900
1086,0.09,3200,590000
1087,0.07,3137,399000
1088,0.1,3229,379900
1089,0.08,4512,450000
1090,0.12,3845,525000
1091,0.09,4128,399900
1092,0.18,7180,499000
1093,0.5,2300,509000
1094,0.08,4576,439000
1095,0.16,4140,439900
1096,0.1,3229,379900
1097,0.5,2300,509000
1098,0.12,3896,249900
1099,0.12,3896,249900
1100,0.09,3200,590000
1101,0.1,3229,379900
1102,0.08,4512,450000
1103,0.09,4128,399900
1104,0.18,7180,499000
1105,0.08,4576,439000
1106,0.12,3896,249900
1107,0.25,3681,369900
1108,0.09,3200,590000
1109,0.08,4512,450000
1110,0.12,3845,525000
1111,0.48,4479,599900
1112,0.09,4128,399900
1113,0.18,7180,499000
1114,0.11,4200,425000
1115,0.13,6800,419900
1116,0.08,4576,439000
1117,0.16,4140,439900
1118,0.09,3200,590000
1119,0.12,3845,525000
1120,0.48,4479,599900
1121,0.18,7180,499000
1122,0.11,4200,425000
1123,0.13,6800,419900
1124,0.08,4576,439000
1125,0.15,4991,475000
1126,0.16,4140,439900
1127,0.5,2300,509000
1128,0.1,3229,379900
1129,0.5,2300,509000
1130,0.12,2648,764900
1131,0.12,3896,249900
1132,0.24,2770,359900
1133,0.11,4569,369900
1134,0.11,4569,369900
1135,0.09,3200,590000
1136,0.08,4512,450000
